title,genre
The Legend of the Blue Sea,Drama
The Legend of the Blue Sea,Fantasy
I'm Not a Robot,Comedy
I'm Not a Robot,Romance
I'm Not a Robot,Drama
I'm Not a Robot,Sci-Fi
The World of the Married,Thriller
The World of the Married,Romance
The World of the Married,Drama
The World of the Married,Melodrama
Sell Your Haunted House,Thriller
Sell Your Haunted House,Mystery
Sell Your Haunted House,Comedy
Sell Your Haunted House,Fantasy
Lie After Lie,Thriller
Lie After Lie,Romance
Lie After Lie,Melodrama
Doctor Prisoner,Thriller
Doctor Prisoner,Law
Doctor Prisoner,Crime
Doctor Prisoner,Medical
Be Melodramatic,Comedy
Be Melodramatic,Romance
Be Melodramatic,Life
Be Melodramatic,Melodrama
Soundtrack #1,Music
Soundtrack #1,Romance
Team Bulldog: Off-Duty Investigation,Action
Team Bulldog: Off-Duty Investigation,Mystery
Team Bulldog: Off-Duty Investigation,Comedy
Team Bulldog: Off-Duty Investigation,Drama
Voice Season 4: Judgment Hour,Action
Voice Season 4: Judgment Hour,Thriller
Voice Season 4: Judgment Hour,Mystery
Voice Season 4: Judgment Hour,Supernatural
Extracurricular,Psychological
Extracurricular,Crime
Extracurricular,Youth
Extracurricular,Drama
The Mysterious Class,Mystery
The Mysterious Class,Horror
The Mysterious Class,Youth
The Mysterious Class,Supernatural
Come and Hug Me,Thriller
Come and Hug Me,Mystery
Come and Hug Me,Romance
Come and Hug Me,Melodrama
Her Private Life,Business
Her Private Life,Comedy
Her Private Life,Romance
Her Private Life,Drama
Rich Family's Son,Romance
Rich Family's Son,Drama
Rich Family's Son,Melodrama
Revolutionary Love,Business
Revolutionary Love,Comedy
Revolutionary Love,Romance
Revolutionary Love,Drama
Society Obsessed with Love,Romance
Society Obsessed with Love,Life
Society Obsessed with Love,Youth
Society Obsessed with Love,Drama
Replay: The Moment When It Starts Again,Music
Replay: The Moment When It Starts Again,Romance
Replay: The Moment When It Starts Again,Youth
Replay: The Moment When It Starts Again,Drama
Andante,Comedy
Andante,Romance
Andante,Youth
Andante,Melodrama
Private Lives,Thriller
Private Lives,Mystery
Private Lives,Romance
Private Lives,"Crime,Netflix
Nevertheless,,Romance"
Ms. Perfect,Mystery
Ms. Perfect,Comedy
To My Beautiful Woo Ri,Romance
To My Beautiful Woo Ri,Drama
My Little Baby,Comedy
My Little Baby,Romance
My Little Baby,Family
Miracle,Romance
Miracle,Youth
Sweet Stranger and Me,Comedy
Sweet Stranger and Me,Romance
Sweet Stranger and Me,Life
Sweet Stranger and Me,Drama
Heartbeat Broadcasting Accident,Romance
Alive,Mystery
Alive,Horror
Alive,Supernatural
It's Okay to Be Sensitive Season 3,Comedy
It's Okay to Be Sensitive Season 3,Youth
It's Okay to Be Sensitive Season 3,Drama
Alice,Mystery
Alice,Sci-Fi
Alice,Fantasy
Alice,Melodrama
Bargain,Thriller
Bargain,Comedy
Bargain,Crime
Bargain,Drama
So Handsome Man, Si Bel Homme
Age of Youth Season 2,Mystery
Age of Youth Season 2,Comedy
Age of Youth Season 2,Romance
Age of Youth Season 2,Life
Sh**ting Stars,Comedy
Sh**ting Stars,Romance
Sh**ting Stars,Drama
Birthcare Center,Comedy
Birthcare Center,Life
Birthcare Center,Drama
Birthcare Center,Melodrama
100 Days My Prince,Historical
100 Days My Prince,Comedy
100 Days My Prince,Romance
100 Days My Prince,Drama
Yumi's Cells Season 2,Comedy
Yumi's Cells Season 2,Romance
Yumi's Cells Season 2,Life
The Forbidden Marriage,Historical
The Forbidden Marriage,Mystery
The Forbidden Marriage,Comedy
The Forbidden Marriage,Romance
My Roommate Is a Gumiho,Comedy
My Roommate Is a Gumiho,Romance
My Roommate Is a Gumiho,Fantasy
One Day Off,Food
One Day Off,Life
