title,genres,where_to_watch
Just Between Lovers,"Psychological, Romance, Melodrama","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, Kocowa"
One Dollar Lawyer,"Comedy, Law, Drama","Disney+ Hotstar, Disney+, Wavve, Hulu"
What's Wrong with Secretary Kim,"Business, Comedy, Romance","Apple TV, Netflix, WeTV, Viki, iQIYI, Hulu, VIU Indonesia"
Perfect Marriage Revenge,"Business, Romance, Drama, Fantasy","Viki, TVING, Wavve, Netflix"
365: Repeat the Year,"Thriller, Mystery, Drama, Fantasy","Viki, Kocowa"
Boyhood,"Action, Thriller, Comedy, Youth","Tubi, Viki"
Mystic Pop-Up Bar,"Mystery, Comedy, Drama, Fantasy",Netflix
Revenge of Others,"Action, Thriller, Mystery, Drama","Apple TV, Disney+ Hotstar, Disney+, Hulu"
Doctor John,"Mystery, Romance, Life, Medical","Apple TV, Netflix, Viki, SBS World, Kocowa"
Save Me,"Action, Thriller, Mystery, Drama","Apple TV, iQIYI, Prime Video, Tubi, Roku"
Nobody Knows,"Thriller, Mystery, Drama, Melodrama","SBS World, Viki, Kocowa"
W,"Thriller, Comedy, Romance, Fantasy","Apple TV, Netflix, WeTV, Viki, iflix"
Fight for My Way,"Business, Comedy, Romance, Sports","Apple TV, Netflix, WeTV, Viki, iflix, VIU Indonesia, Kocowa"
Kairos,"Action, Thriller, Drama, Sci-Fi","Apple TV, Viki, Kocowa"
Partners for Justice,"Thriller, Mystery, Law, Medical","Apple TV, Netflix, Viki, Kocowa"
Little Women,"Action, Thriller, Mystery, Drama",Netflix
Voice Season 2,"Thriller, Mystery, Psychological, Supernatural","Apple TV, Netflix, Prime Video, Tubi, Roku"
Recipe for Farewell,"Food, Life, Drama","Viki, Prime Video, Kocowa"
Love to Hate You,"Comedy, Law, Romance",Netflix
Doom at Your Service,"Comedy, Romance, Drama, Fantasy","Apple TV, Viki, Prime Video, TVING, VIU Indonesia, Netflix"
Thirty but Seventeen,"Music, Mystery, Comedy, Romance","Apple TV, Netflix, WeTV, Viki, VIU Indonesia, SBS World, Tubi, Kocowa"
Mad for Each Other,"Comedy, Romance, Drama","Netflix, Kakao TV"
Squid Game,"Action, Thriller, Mystery, Drama",Netflix
Itaewon Class,"Business, Romance, Life, Drama",Netflix
One Ordinary Day,"Thriller, Mystery, Law, Crime",VIU Indonesia
Tell Me That You Love Me,"Romance, Life, Drama, Melodrama","Disney+ Hotstar, Disney+, Hulu"
Pachinko,"Historical, Romance, Drama, Melodrama",Apple TV
"It's Okay, That's Friendship","Comedy, Life",
Love All Play,"Romance, Drama, Sports, Melodrama","Apple TV, Disney+, Disney+ Hotstar"
