title,genres,where_to_watch
The Legend of the Blue Sea,"Comedy, Romance, Drama, Fantasy",Apple TV
I'm Not a Robot,"Comedy, Romance, Drama, Sci-Fi",Apple TV
The World of the Married,"Thriller, Romance, Drama, Melodrama",Disney+ Hotstar
Sell Your Haunted House,"Thriller, Mystery, Comedy, Fantasy",Netflix
Lie After Lie,"Thriller, Romance, Melodrama",Apple TV
Doctor Prisoner,"Thriller, Law, Crime, Medical",Apple TV
Be Melodramatic,"Comedy, Romance, Life, Melodrama",Apple TV
Soundtrack #1,"Music, Romance",Apple TV
Team Bulldog: Off-Duty Investigation,"Action, Mystery, Comedy, Drama",Viki
Voice Season 4: Judgment Hour,"Action, Thriller, Mystery, Supernatural",Apple TV
Extracurricular,"Psychological, Crime, Youth, Drama",Netflix
The Mysterious Class,"Mystery, Horror, Youth, Supernatural",
Come and Hug Me,"Thriller, Mystery, Romance, Melodrama",Netflix
Her Private Life,"Business, Comedy, Romance, Drama",Apple TV
Rich Family's Son,"Romance, Drama, Melodrama",Apple TV
Revolutionary Love,"Business, Comedy, Romance, Drama",Apple TV
Society Obsessed with Love,"Romance, Life, Youth, Drama",tvN D STORY
Replay: The Moment When It Starts Again,"Music, Romance, Youth, Drama",Apple TV
Andante,"Comedy, Romance, Youth, Melodrama",Viki
Private Lives,"Thriller, Mystery, Romance, Crime",Netflix
"Nevertheless,","Romance, Life, Youth, Drama",Netflix
Ms. Perfect,"Mystery, Comedy",Viki
To My Beautiful Woo Ri,"Romance, Drama",
My Little Baby,"Comedy, Romance, Family",Netflix
Miracle,"Romance, Youth",Apple TV
Sweet Stranger and Me,"Comedy, Romance, Life, Drama",Viki
Heartbeat Broadcasting Accident,"Romance",
Alive,"Mystery, Horror, Supernatural",Viki
It's Okay to Be Sensitive Season 3,"Comedy, Youth, Drama",tvn D STORY
Alice,"Mystery, Sci-Fi, Fantasy, Melodrama",Netflix
Bargain,"Thriller, Comedy, Crime, Drama",Apple TV
So Handsome Man, Si Bel Homme,"Comedy, Youth",Kakao TV
Age of Youth Season 2,"Mystery, Comedy, Romance, Life",Netflix
Sh**ting Stars,"Comedy, Romance, Drama",Apple TV
Birthcare Center,"Comedy, Life, Drama, Melodrama",WeTV
100 Days My Prince,"Historical, Comedy, Romance, Drama",Apple TV
Yumi's Cells Season 2,"Comedy, Romance, Life",Viki
The Forbidden Marriage,"Historical, Mystery, Comedy, Romance",Apple TV
My Roommate Is a Gumiho,"Comedy, Romance, Fantasy",Apple TV
One Day Off,"Food, Life, Drama",Viki
Psychopath Diary,"Thriller, Mystery, Comedy, Crime",Viki
True Beauty,"Comedy, Romance, Youth, Drama",Apple TV
Five Enough,"Comedy, Romance, Drama, Melodrama",Viki
The Nokdu Flower,"Historical, War, Political",Netflix
One Spring Night,"Romance, Life, Drama",Netflix
He Is Psychometric,"Thriller, Mystery, Romance, Supernatural",Apple TV
"At a Distance, Spring Is Green","Romance, Life, Youth",Apple TV
A Bloody Lucky Day,"Thriller, Mystery, Psychological, Drama",TVING
Gaus Electronics,"Business, Comedy, Romance, Life",Viki
The Tale of Nokdu,"Action, Historical, Comedy, Romance",Apple TV
The Hymn of Death,"Music, Historical, Romance, Melodrama",Netflix
Search: WWW,"Business, Comedy, Romance, Drama",Apple TV
Money Heist: Korea - Joint Economic Area - Part 1,"Action, Thriller, Mystery, Crime",Netflix
The King's Affection,"Historical, Romance, Drama",Netflix
Super Junior: The Last Man Standing,"Music, Documentary",Disney+
The Beauty Inside,"Comedy, Romance, Melodrama, Supernatural",Apple TV
The Sound of Your Heart,"Comedy, Life, Sitcom",Netflix
God's Quiz: Reboot,"Mystery, Medical",Apple TV
Confession,"Thriller, Mystery, Law, Drama",Apple TV
Class of Lies,"Thriller, Mystery, Law, Youth",Apple TV
Rookie Cops,"Romance, Life, Youth, Drama",Apple TV
Call It Love,"Romance, Drama, Melodrama",Apple TV
Terius behind Me,"Action, Mystery, Comedy, Romance",Kocowa
She Makes My Heart Flutter,"Comedy, Romance",
Again My Life,"Mystery, Law, Drama, Fantasy",Viki
Oh My Ghost,"Thriller, Comedy, Romance, Supernatural",Disney+ Hotstar
Arthdal Chronicles: The Sword of Aramun,"Action, Historical, Romance, Fantasy",Disney+
Divorce Attorney Shin,"Law, Drama",Netflix
Hit the Spot,"Romance, Drama, Mature",Viki
